tag,NoQ,bestUid,act,exp,par,r_act,r_exp,r_par,pear_act,pear_exp,pear_par
asp.net-mvc,2,1538039,2,0.0,1,0.270500979569,0.707621979662,0.647165181454,-1.0,-1.0,nan
asp.net-mvc,1,25727,54,1.25925925926,40,0.00788319805952,0.404002239015,0.564768177709,nan,nan,nan
asp.net-mvc,1,88896,15,0.6,2,0.0446870043847,0.643949995335,0.972491282449,nan,nan,nan
asp.net-mvc,1,315935,136,2.22794117647,90,0.00195913797929,0.231084989271,0.61009944466,nan,nan,nan
asp.net-mvc,1,1303785,2,0.5,4,0.270500979569,0.649221009423,0.112101252744,nan,nan,nan
asp.net-mvc,1,1848600,1,1.0,0,0.418089374009,0.419582050564,0.999870851091,nan,nan,nan
asp.net-mvc,2,961113,11,1.45454545455,7,0.0625058307678,0.384270920795,0.613328167377,nan,nan,nan
asp.net-mvc,2,29407,5249,4.02590969709,1244,0.0,0.105000466461,0.912566188816,nan,nan,nan
asp.net-mvc,1,34796,109,1.64220183486,28,0.00275212239948,0.353997574401,0.880278961643,nan,nan,nan
asp.net-mvc,1,654031,4,1.0,0,0.158410299468,0.419582050564,0.999870851091,nan,nan,nan
asp.net-mvc,1,271458,15,0.733333333333,1,0.0446870043847,0.628463476071,0.994446596926,nan,nan,nan
asp.net-mvc,1,190750,23,2.4347826087,25,0.0257020244426,0.21881705383,0.282577812217,nan,nan,nan
asp.net-mvc,1,29407,5249,4.02590969709,1244,0.0,0.105000466461,0.912566188816,nan,nan,nan
asp.net-mvc,4,1715579,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,548048,6,0.666666666667,7,0.113583356656,0.630562552477,0.273924835335,nan,nan,nan
asp.net-mvc,2,2171490,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,1831054,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,2171490,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,2,136138,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,281472,23,2.60869565217,7,0.0257020244426,0.20598936468,0.860390029704,nan,nan,nan
asp.net-mvc,1,2503673,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,3,284240,5,3.6,19,0.132428398171,0.135740274279,0.0432648844117,nan,nan,nan
asp.net-mvc,1,84395,26,1.26923076923,13,0.0219236869111,0.403722362161,0.647165181454,nan,nan,nan
asp.net-mvc,2,2595463,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,2293059,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,2103759,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,1,212121,26,0.730769230769,10,0.0219236869111,0.628603414498,0.790262172285,nan,nan,nan
asp.net-mvc,2,113763,9,4.0,10,0.0772926578972,0.105093758746,0.281028025313,nan,nan,nan
asp.net-mvc,1,28278,7,2.71428571429,7,0.0977236682526,0.200205243026,0.286710577296,nan,nan,nan
asp.net-mvc,2,706119,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,3,2959766,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,2,2416538,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,2,2845370,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,2,184596,6,6.16666666667,1,0.113583356656,0.0594271853718,0.950019372336,nan,nan,nan
asp.net-mvc,1,79152,9,1.0,1,0.0772926578972,0.419582050564,0.980369365879,nan,nan,nan
asp.net-mvc,1,961526,58,1.86206896552,37,0.00690362906988,0.335105886743,0.61306986956,nan,nan,nan
asp.net-mvc,2,895279,1,0.0,1,0.418089374009,0.707621979662,0.286710577296,-1.0,-1.0,-1.0
asp.net-mvc,1,29407,5249,4.02590969709,1244,0.0,0.105000466461,0.912566188816,nan,nan,nan
asp.net-mvc,4,1251376,3,0.333333333333,1,0.198665920328,0.690036383991,0.803951956606,0.640464030807,-0.576556660197,-0.997006147298
asp.net-mvc,1,31668,88,3.94318181818,66,0.00405821438567,0.130515906335,0.551207542296,nan,nan,nan
asp.net-mvc,1,872395,104,3.63461538462,139,0.0029853531113,0.135413751283,0.24189590598,nan,nan,nan
asp.net-mvc,2,264697,61,2.26229508197,122,0.00657710607333,0.228659389868,0.112101252744,nan,nan,nan
asp.net-mvc,1,1258525,1,0.0,0,0.418089374009,0.707621979662,0.999870851091,nan,nan,nan
asp.net-mvc,1,1009603,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,2,29407,5249,4.02590969709,1244,0.0,0.105000466461,0.912566188816,nan,nan,nan
asp.net-mvc,2,1574489,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
asp.net-mvc,5,135007,32,1.40625,46,0.016792611251,0.386463289486,0.234663567093,-0.114707866935,0.469640815924,0.696744367003
asp.net-mvc,1,2057154,0,0,0,0.999953353858,0.707621979662,None,nan,nan,nan
