tag,NoQ,bestUid,act,exp,par,r_act,r_exp,r_par,pear_act,pear_exp,pear_par
assembly,1,1149522,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,676030,2,4.0,1,0.178495455424,0.154322181396,0.814301552106,nan,nan,nan
assembly,1,1880339,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,319403,28,2.78571428571,46,0.0129568748791,0.305163411332,0.330376940133,nan,nan,nan
assembly,1,798346,1,0.0,3,0.315606265713,0.772771224135,0.114745011086,nan,nan,nan
assembly,3,555045,56,3.28571428571,318,0.00502804099787,0.222587507252,0.0388026607539,1.0,-1.0,1.0
assembly,2,15809,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,nan,nan,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,16007,284,2.77464788732,297,0.0,0.305356797525,0.422949002217,nan,nan,nan
assembly,1,1611055,2,2.0,1,0.178495455424,0.345387739315,0.814301552106,nan,nan,nan
assembly,1,1157391,12,1.75,3,0.031715335525,0.48133823245,0.960643015521,nan,nan,nan
assembly,1,968261,282,1.9219858156,364,0.000193386192226,0.476503577645,0.399667405765,nan,nan,nan
assembly,2,219159,10,2.8,7,0.0371301489074,0.304003094179,0.761640798226,nan,nan,nan
assembly,1,2157240,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,985752,8,0.0,3,0.0471862309031,0.772771224135,0.914079822616,nan,nan,nan
assembly,1,2040925,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,2,2113226,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,2642162,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,2040925,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,204390,135,1.68888888889,122,0.000966930961129,0.485786114871,0.726164079823,nan,nan,nan
assembly,1,2804295,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,253056,127,3.42519685039,292,0.00135370334558,0.218719783407,0.20399113082,nan,nan,nan
assembly,1,2282011,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,120163,64,3.5,67,0.00425449622897,0.21021079095,0.422394678492,nan,nan,nan
assembly,1,1092970,61,0.983606557377,42,0.00464126861342,0.737188164765,0.764966740576,nan,nan,nan
assembly,2,1491895,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,3,466611,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,1310991,35,2.51428571429,32,0.00947592341907,0.315799651905,0.724501108647,nan,nan,nan
assembly,2,253056,127,3.42519685039,292,0.00135370334558,0.218719783407,0.20399113082,1.0,1.0,-1.0
assembly,1,1919155,10,2.2,9,0.0371301489074,0.341906787855,0.726718403548,nan,nan,nan
assembly,1,458390,53,3.37735849057,59,0.00541481338232,0.219880100561,0.416851441242,nan,nan,nan
assembly,1,2282011,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,1931271,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,4,1314354,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,2056411,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,1204143,5,3.6,17,0.0750338425836,0.208663701412,0.106430155211,nan,nan,nan
assembly,1,968261,282,1.9219858156,364,0.000193386192226,0.476503577645,0.399667405765,nan,nan,nan
assembly,1,109702,10,2.1,12,0.0371301489074,0.345000966931,0.406873614191,nan,nan,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,1919155,10,2.2,9,0.0371301489074,0.341906787855,0.726718403548,nan,nan,nan
assembly,1,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,nan,nan,nan
assembly,1,2015064,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,1920110,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,14860,129,4.47286821705,65,0.00116031715336,0.148907368014,0.813747228381,nan,nan,nan
assembly,1,2354107,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,119527,7,147.571428571,23,0.0555018371688,0.000966930961129,0.109201773836,nan,nan,nan
assembly,1,2028907,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,1353011,1,1.0,1,0.315606265713,0.534519435312,0.423503325942,nan,nan,nan
assembly,1,2082698,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,119527,7,147.571428571,23,0.0555018371688,0.000966930961129,0.109201773836,nan,nan,nan
assembly,2,2028907,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,297809,2,3.0,1,0.178495455424,0.22587507252,0.814301552106,nan,nan,nan
assembly,1,1919155,10,2.2,9,0.0371301489074,0.341906787855,0.726718403548,nan,nan,nan
assembly,2,505088,24,5.70833333333,103,0.0145039644169,0.102301295687,0.0670731707317,-1.0,1.0,1.0
assembly,1,1122135,1,0.0,0,0.315606265713,0.772771224135,0.999445676275,nan,nan,nan
assembly,1,3156750,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,968261,282,1.9219858156,364,0.000193386192226,0.476503577645,0.399667405765,nan,nan,nan
assembly,1,2282011,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,298225,13,4.15384615385,17,0.0293947012183,0.153548636627,0.398558758315,nan,nan,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,1163019,8,1.625,24,0.0471862309031,0.493134790176,0.114745011086,nan,nan,nan
assembly,1,14860,129,4.47286821705,65,0.00116031715336,0.148907368014,0.813747228381,nan,nan,nan
assembly,2,16007,284,2.77464788732,297,0.0,0.305356797525,0.422949002217,1.0,-1.0,-1.0
assembly,1,1356047,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,149341,25,2.84,20,0.013730419648,0.302649390833,0.737804878049,nan,nan,nan
assembly,1,120163,64,3.5,67,0.00425449622897,0.21021079095,0.422394678492,nan,nan,nan
assembly,1,1394283,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,14860,129,4.47286821705,65,0.00116031715336,0.148907368014,0.813747228381,1.0,1.0,-1.0
assembly,1,219159,10,2.8,7,0.0371301489074,0.304003094179,0.761640798226,nan,nan,nan
assembly,1,2936654,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,3,201506,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,nan,nan,nan
assembly,1,968261,282,1.9219858156,364,0.000193386192226,0.476503577645,0.399667405765,nan,nan,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,189205,17,5.23529411765,18,0.0210790949526,0.108102881454,0.421840354767,nan,nan,nan
assembly,1,115833,5,0.8,1,0.0750338425836,0.738735254303,0.977827050998,nan,nan,nan
assembly,1,116908,95,3.49473684211,139,0.00251402049894,0.217946238639,0.375831485588,nan,nan,nan
assembly,2,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,466611,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,968261,282,1.9219858156,364,0.000193386192226,0.476503577645,0.399667405765,nan,nan,nan
assembly,1,1310991,35,2.51428571429,32,0.00947592341907,0.315799651905,0.724501108647,nan,nan,nan
assembly,1,505088,24,5.70833333333,103,0.0145039644169,0.102301295687,0.0670731707317,nan,nan,nan
assembly,1,1310991,35,2.51428571429,32,0.00947592341907,0.315799651905,0.724501108647,nan,nan,nan
assembly,2,1050632,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,3011009,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,nan,nan,nan
assembly,2,676030,2,4.0,1,0.178495455424,0.154322181396,0.814301552106,nan,nan,nan
assembly,1,980550,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,16007,284,2.77464788732,297,0.0,0.305356797525,0.422949002217,nan,nan,nan
assembly,2,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,2,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,-1.0,-1.0,-1.0
assembly,1,1310991,35,2.51428571429,32,0.00947592341907,0.315799651905,0.724501108647,nan,nan,nan
assembly,2,1716339,50,1.24,46,0.00618835815123,0.530071552891,0.723392461197,nan,nan,nan
assembly,1,2282011,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,2180567,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,3,980550,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,2,104109,14,2.0,23,0.0272674531038,0.345387739315,0.330376940133,1.0,1.0,1.0
assembly,1,2971,3,3.0,4,0.121446528718,0.22587507252,0.384700665188,nan,nan,nan
assembly,1,179910,184,2.79347826087,90,0.000386772384452,0.30497002514,0.90243902439,nan,nan,nan
assembly,2,1919155,10,2.2,9,0.0371301489074,0.341906787855,0.726718403548,nan,nan,nan
assembly,1,964336,4,1.25,0,0.0930187584606,0.52910462193,0.999445676275,nan,nan,nan
assembly,2,16007,284,2.77464788732,297,0.0,0.305356797525,0.422949002217,nan,nan,nan
assembly,1,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,nan,nan,nan
assembly,1,1796,1,4.0,0,0.315606265713,0.154322181396,0.999445676275,nan,nan,nan
assembly,3,884862,9,1.55555555556,0,0.0423515760975,0.495648810675,0.999445676275,1.0,1.0,nan
assembly,1,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,2,1401351,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,2354107,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,2016408,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,547981,101,1.67326732673,64,0.00212724811448,0.486172887256,0.791019955654,nan,nan,nan
assembly,1,1930011,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
assembly,1,884862,9,1.55555555556,0,0.0423515760975,0.495648810675,0.999445676275,nan,nan,nan
assembly,2,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,2,1524450,7,1.0,8,0.0555018371688,0.534519435312,0.415188470067,nan,nan,nan
assembly,1,12711,68,4.10294117647,89,0.00386772384452,0.153935409012,0.39800443459,nan,nan,nan
assembly,3,149341,25,2.84,20,0.013730419648,0.302649390833,0.737804878049,0.632141409616,0.939565224189,-0.995693049065
assembly,1,2909897,0,0,0,0.999806613808,0.772771224135,None,nan,nan,nan
