tag,NoQ,bestUid,act,exp,par,r_act,r_exp,r_par,pear_act,pear_exp,pear_par
regex,3,1367256,2,0.0,0,0.239972807614,0.682837896298,0.9999233364,-0.944911182523,-0.854250628598,-1.0
regex,2,376535,84,1.88095238095,122,0.0042642605525,0.310642111118,0.322217111316,nan,nan,nan
regex,1,501557,6,5.0,4,0.0880662505408,0.0575057165812,0.701701931923,nan,nan,nan
regex,2,1945651,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,1951026,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,3,2038264,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,1665365,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,6,67381,0,0,0,0.999969099561,0.682837896298,None,-1.0,1.0,nan
regex,2,311115,7,2.14285714286,3,0.0753970706384,0.208732464001,0.864305427783,-1.0,1.0,-1.0
regex,3,830012,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,2105333,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,3,1731862,0,0,0,0.999969099561,0.682837896298,None,-1.0,1.0,-1.0
regex,2,454533,46,1.73913043478,40,0.00948643470737,0.31975774056,0.655473781049,nan,nan,nan
regex,1,598420,219,1.42465753425,331,0.000957913602373,0.36277115135,0.28756516406,nan,nan,nan
regex,1,1166285,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,785745,63,2.0,66,0.0060564860021,0.21206971139,0.378718184606,nan,nan,nan
regex,1,1831054,6,0.666666666667,1,0.0880662505408,0.611550584018,0.98129408157,nan,nan,nan
regex,2,20862,230,2.99130434783,182,0.000834311847228,0.170415919906,0.675559644281,nan,nan,nan
regex,2,1521179,35,2.02857142857,44,0.0129781842902,0.211977010074,0.349432689359,1.0,-1.0,1.0
regex,4,417194,44,1.45454545455,26,0.010258945677,0.360917125023,0.746856792395,1.0,1.0,nan
regex,3,8454,89,2.60674157303,160,0.004047957481,0.181756380941,0.260886231217,-1.0,1.0,1.0
regex,1,674700,2,1.5,0,0.239972807614,0.336876583647,0.9999233364,nan,nan,nan
regex,1,2112489,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,1711796,1,1.0,1,0.393826092331,0.393022680922,0.379944802208,-1.0,-1.0,-1.0
regex,3,1511914,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,2531314,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,1,372239,531,1.33145009416,314,0.000216303071504,0.375625733885,0.746780128795,nan,nan,nan
regex,3,1578604,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,851273,90,1.02222222222,22,0.00392435572585,0.392960880044,0.963661453542,nan,nan,nan
regex,1,20670,1795,3.01002785515,2121,0.0,0.124806872258,0.365685372585,nan,nan,nan
regex,4,2691004,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,3,263525,32,2.625,41,0.0142451022805,0.181323774798,0.348436062557,nan,nan,nan
regex,3,2299414,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,20670,1795,3.01002785515,2121,0.0,0.124806872258,0.365685372585,nan,nan,nan
regex,1,2352031,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,2206004,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,1,2225682,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,2,2416538,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,3,922198,2,0.0,0,0.239972807614,0.682837896298,0.9999233364,-1.0,-1.0,nan
regex,2,2206004,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,1,363573,74,1.13513513514,55,0.00500587108337,0.390056238799,0.692732290708,nan,nan,nan
regex,3,1775603,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
regex,3,584347,12,2.5,9,0.0438168221989,0.183764909462,0.679316160687,0.0591678594373,-0.385076518333,-1.0
regex,2,846892,33,1.45454545455,27,0.0138124961374,0.360917125023,0.664903403864,1.0,-1.0,nan
regex,2,1472389,2,1.0,3,0.239972807614,0.393022680922,0.28764182766,nan,1.0,nan
regex,3,116614,34,2.41176470588,78,0.0133798899944,0.195970582782,0.146504139834,1.0,1.0,nan
regex,1,910701,0,0,0,0.999969099561,0.682837896298,None,nan,nan,nan
