tag,NoQ,bestUid,act,exp,par,r_act,r_exp,r_par,pear_act,pear_exp,pear_par
windows,2,2266559,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,1553481,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,187697,20,3.05,15,0.0123055781123,0.157786245237,0.65664160401,nan,nan,nan
windows,4,2507519,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,2,65863,207,1.73429951691,180,0.000406021612843,0.370635267662,0.642305764411,1.0,-1.0,1.0
windows,1,367261,5,1.0,2,0.0694296957961,0.423824098944,0.852631578947,nan,nan,nan
windows,1,505088,659,2.7435508346,2059,3.12324317571e-05,0.220251108751,0.0726817042607,nan,nan,nan
windows,1,2098699,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,2528057,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,3,17833,12,3.58333333333,17,0.0247985508152,0.144481229309,0.301353383459,1.0,1.0,1.0
windows,1,2172229,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,2299431,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,5,616460,0,0,0,0.999968767568,0.704791055032,None,-0.220365948093,0.642501493442,0.812349496027
windows,2,2771806,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,886887,276,1.3115942029,1176,0.000124929727029,0.414235742395,0.0409022556391,nan,nan,nan
windows,2,2419531,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,2,463115,111,3.59459459459,166,0.000812043225686,0.144418764445,0.298345864662,nan,nan,nan
windows,1,2065121,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,2128947,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,34088,43,1.39534883721,14,0.0041539134237,0.406084077706,0.922807017544,nan,nan,nan
windows,1,263693,14,1.21428571429,6,0.0204260103692,0.418545817977,0.84671679198,nan,nan,nan
windows,1,2299431,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,1,21567,24,1.95833333333,54,0.0096195889812,0.363732900244,0.134636591479,nan,nan,nan
windows,2,1521179,1,4.0,8,0.321850209257,0.108314073334,0.00731829573935,nan,nan,nan
windows,2,694576,14,1.35714285714,40,0.0204260103692,0.407145980386,0.110977443609,nan,nan,nan
windows,1,2898506,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,2,833073,5,0.2,5,0.0694296957961,0.703729152352,0.339147869674,nan,nan,nan
windows,3,952310,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,2,229179,2,2.5,0,0.176525704291,0.226497595103,0.999899749373,nan,nan,nan
windows,2,775110,0,0,0,0.999968767568,0.704791055032,None,nan,nan,nan
windows,2,1012053,187,3.1550802139,172,0.0004372540446,0.15659941283,0.636390977444,1.0,-1.0,-1.0
windows,1,17034,697,2.88952654232,1505,0.0,0.216003498032,0.138145363409,nan,nan,nan
windows,1,143305,33,3.21212121212,14,0.00627771878318,0.155787369605,0.85022556391,nan,nan,nan
windows,1,193892,25,1.4,79,0.00902617277781,0.404428758823,0.0722807017544,nan,nan,nan
