tag,user,act,exp,par
asp.net-mvc,1,6,6.0,12
asp.net-mvc,524290,1,0.0,0
asp.net-mvc,3,7,26.1428571429,14
asp.net-mvc,131076,1,3.0,0
asp.net-mvc,5,18,3.88888888889,7
asp.net-mvc,9,1,2.0,0
asp.net-mvc,262146,0,0,1
asp.net-mvc,262158,3,1.66666666667,1
asp.net-mvc,393231,1,1.0,0
asp.net-mvc,17,63,2.69841269841,9
asp.net-mvc,20,3,6.0,0
asp.net-mvc,4,2,80.0,0
asp.net-mvc,26,3,3.66666666667,2
asp.net-mvc,29,7,3.28571428571,11
asp.net-mvc,33,1,16.0,7
asp.net-mvc,34,3,2.33333333333,0
asp.net-mvc,35,1,1.0,1
asp.net-mvc,131110,0,0,1
asp.net-mvc,152924,4,2.75,3
asp.net-mvc,45,5,5.8,1
asp.net-mvc,49,3,4.0,0
asp.net-mvc,50,1,1.0,0
asp.net-mvc,51,2,3.0,3
asp.net-mvc,786487,1,1.0,0
asp.net-mvc,131128,1,0.0,0
asp.net-mvc,786489,3,5.33333333333,2
asp.net-mvc,60,31,3.25806451613,16
asp.net-mvc,262206,1,1.0,0
asp.net-mvc,63,1,3.0,3
asp.net-mvc,64,2,1.5,2
asp.net-mvc,67,40,4.825,21
asp.net-mvc,131140,0,0,1
asp.net-mvc,830134,1,1.0,0
asp.net-mvc,262214,2,1.0,0
asp.net-mvc,71,3,1.66666666667,1
asp.net-mvc,76,2,3.5,0
asp.net-mvc,77,1,3.0,3
asp.net-mvc,83,21,14.8571428571,8
asp.net-mvc,86,1,0.0,2
asp.net-mvc,393307,1,3.0,0
asp.net-mvc,131165,1,1.0,0
asp.net-mvc,95,1,0.0,0
asp.net-mvc,100,1,1.0,2
asp.net-mvc,524389,0,0,2
asp.net-mvc,1441894,4,1.0,2
asp.net-mvc,786536,30,0.5,10
asp.net-mvc,105,3,2.33333333333,1
asp.net-mvc,106,7,3.42857142857,1
asp.net-mvc,109,1,1.0,0
asp.net-mvc,115,2,1.5,1
asp.net-mvc,393334,1,0.0,0
asp.net-mvc,122,2,2.5,0
asp.net-mvc,1179771,0,0,1
asp.net-mvc,1048704,1,1.0,0
asp.net-mvc,131201,1,3.0,0
asp.net-mvc,1179779,0,0,1
