tag,user,act,exp,par
assembly,279982,1,1.0,2
assembly,32775,2,2.0,1
assembly,13,20,6.45,17
assembly,131088,1,3.0,0
assembly,196629,1,1.0,0
assembly,169305,0,0,1
assembly,32798,1,4.0,0
assembly,65577,1,3.0,0
assembly,42,1,1.0,0
assembly,50,1,1.0,0
assembly,65589,1,3.0,0
assembly,1114171,0,0,1
assembly,61,1,1.0,0
assembly,131140,16,2.4375,16
assembly,491591,1,0.0,1
assembly,524368,4,2.5,4
assembly,82,0,0,1
assembly,85,1,4.0,0
assembly,1048663,1,2.0,0
assembly,91,1,11.0,3
assembly,65628,1,1.0,1
assembly,131166,0,0,1
assembly,96,0,0,1
assembly,655457,0,0,2
assembly,589924,4,1.5,2
assembly,87399,1,3.0,3
assembly,491629,0,0,1
assembly,32878,0,0,1
assembly,262256,2,1.5,2
assembly,115,0,0,2
assembly,163956,1,0.0,4
assembly,491645,1,1.0,0
assembly,884862,9,1.55555555556,0
assembly,557191,1,3.0,3
assembly,65678,1,0.0,0
assembly,32914,1,1.0,2
assembly,1048729,0,0,1
assembly,1130522,1,1.0,3
assembly,950430,0,0,2
assembly,65696,15,2.46666666667,9
assembly,589985,0,0,1
assembly,557219,5,5.2,1
assembly,295076,0,0,3
assembly,32958,1,3.0,0
assembly,131264,2,7.0,2
assembly,65732,1,6.0,0
assembly,393419,1,1.0,0
assembly,38264,0,0,1
assembly,491733,1,3.0,0
assembly,819415,2,0.5,0
assembly,590042,7,2.85714285714,5
assembly,786653,73,2.69863013699,182
assembly,1048799,1,2.0,0
assembly,229602,1,0.0,0
assembly,32998,0,0,1
assembly,1245420,3,2.0,6
assembly,33006,14,3.57142857143,6
assembly,33015,1,11.0,0
assembly,557306,0,0,3
assembly,257,1,3.0,0
assembly,426242,1,4.0,1
assembly,1179907,1,0.0,0
assembly,260,1,-1.0,0
assembly,491785,1,0.0,0
assembly,267,4,1.75,13
assembly,268,0,0,1
assembly,269,3,0.333333333333,0
assembly,1310991,35,2.51428571429,32
assembly,524566,1,6.0,1
assembly,279,1,4.0,0
assembly,33052,1,1.0,0
assembly,852254,0,0,1
assembly,287,1,1.0,1
assembly,98607,1,7.0,0
assembly,426288,1,0.0,0
assembly,305,1,1.0,0
assembly,557362,1,1.0,0
assembly,262451,1,0.0,0
assembly,65845,3,1.0,2
assembly,229686,0,0,5
assembly,33080,1,25.0,1
assembly,1081659,0,0,2
assembly,262463,2,0.5,1
assembly,65863,10,2.7,2
assembly,332,1,1.0,1
assembly,338,2,71.5,0
assembly,342,0,0,4
assembly,1114457,0,0,1
assembly,164188,1,0.0,1
assembly,356,1,3.0,5
assembly,131433,11,3.0,17
assembly,885101,0,0,1
assembly,164207,2,2.0,2
assembly,369,2,3.0,4
assembly,721269,19,4.78947368421,16
assembly,131446,1,7.0,0
assembly,917880,1,0.0,0
assembly,459129,1,0.0,0
assembly,371435,0,0,2
assembly,33160,1,3.0,0
assembly,262541,1,1.0,0
assembly,98713,1,6.0,0
assembly,414,0,0,2
assembly,419,0,0,4
assembly,721318,1,0.0,0
assembly,426,3,1.33333333333,0
assembly,229807,1,0.0,0
assembly,33208,0,0,1
assembly,1343932,1,1.0,0
assembly,33213,24,4.79166666667,83
assembly,770123,1,0.0,0
assembly,456,1,7.0,1
assembly,33225,1,39.0,1
assembly,476,0,0,4
assembly,229856,1,3.0,0
assembly,98786,1,9.0,0
assembly,33252,13,2.84615384615,3
assembly,1737192,10,1.7,0
assembly,524784,1,1.0,0
assembly,66034,2,2.0,4
assembly,688635,0,0,6
assembly,510,0,0,1
assembly,688213,9,1.77777777778,2
assembly,1212929,1,-1.0,0
assembly,98818,1,1.0,0
assembly,131589,1,6.0,0
assembly,66056,2,1.0,0
assembly,522,1,4.0,0
assembly,533,1,2.0,1
assembly,534,1,0.0,1
assembly,623132,1,1.0,0
assembly,623133,2,1.5,5
assembly,360998,1,38.0,0
assembly,66088,1,2.0,0
assembly,1311284,1,1.0,0
assembly,1606201,1,1.0,0
assembly,572,1,2.0,2
assembly,33345,6,6.33333333333,6
assembly,852548,1,0.0,3
assembly,582,0,0,1
assembly,584,1,6.0,1
assembly,611,2,0.5,1
assembly,197220,1,1.0,0
assembly,616,1,0.0,0
assembly,619,1,0.0,0
assembly,918124,1,0.0,0
assembly,197229,3,2.66666666667,6
assembly,819822,1,0.0,2
assembly,328311,1,1.0,0
assembly,459384,0,0,1
assembly,950907,0,0,1
assembly,636,1,0.0,0
assembly,999530,0,0,1
assembly,950912,0,0,3
assembly,33412,1,3.0,0
assembly,645,1,1.0,0
assembly,51305,0,0,1
assembly,197290,1,1.0,0
assembly,688,1,2.0,3
assembly,393908,1,0.0,2
assembly,116,1,2.0,0
assembly,393919,0,0,1
assembly,656065,3,0.666666666667,0
assembly,164548,0,0,1
assembly,754373,0,0,2
assembly,1606345,0,0,1
assembly,714,1,41.0,0
assembly,230091,1,1.0,0
assembly,492238,1,4.0,0
assembly,722,1,1.0,0
assembly,328406,1,0.0,0
assembly,99032,1,1.0,0
