tag,user,act,exp,par
c#,1572865,1,1.0,0
c#,3,5,11.8,31
c#,4,12,29.5,7
c#,5,51,8.21568627451,6
c#,1,22,18.4545454545,42
c#,9,8,27.0,0
c#,13,45,5.28888888889,57
c#,16,1,3.0,0
c#,17,140,4.60714285714,67
c#,20,1,44.0,1
c#,22,0,0,1
c#,26,33,2.72727272727,23
c#,27,3,16.0,1
c#,29,75,5.74666666667,151
c#,32,1,1.0,0
c#,524321,4,0.25,0
c#,34,10,36.9,1
c#,35,33,5.12121212121,10
c#,36,56,1.375,24
c#,1572901,2,1.0,0
c#,39,18,8.66666666667,7
c#,40,1,2.0,8
c#,41,3,2.0,0
c#,42,97,4.58762886598,25
c#,44,3,5.0,0
c#,45,163,4.87116564417,24
c#,46,8,4.875,1
c#,48,1,1.0,1
c#,49,16,20.9375,7
c#,50,2,2.0,0
c#,51,59,2.32203389831,9
c#,52,1,0.0,0
c#,55,5,9.2,0
c#,56,5,2.0,12
c#,58,1,48.0,0
c#,60,65,3.33846153846,53
c#,61,7,1.14285714286,3
c#,62,4,5.5,0
c#,63,4,1.5,5
c#,64,43,2.74418604651,8
c#,67,433,7.17321016166,347
c#,71,121,2.14049586777,55
c#,72,3,1.0,0
c#,75,1,1.0,0
c#,76,3,9.0,1
c#,77,132,10.196969697,88
c#,524368,26,1.46153846154,21
c#,2621521,1,0.0,0
c#,82,47,4.17021276596,30
c#,83,6,2.5,3
c#,262158,6,0.666666666667,1
c#,86,24,0.875,10
c#,87,2,0.5,0
c#,88,5,16.8,5
c#,91,261,9.0,274
c#,524380,1,2.0,0
c#,93,14,2.5,5
c#,95,26,4.07692307692,32
c#,96,47,7.42553191489,36
c#,524304,1,0.0,0
c#,100,5,2.8,5
c#,524389,3,5.0,0
c#,102,4,0.5,4
c#,104,1,3.0,0
c#,105,5,2.2,6
c#,106,22,3.31818181818,6
c#,108,2,20.5,0
c#,109,6,21.6666666667,1
c#,111,2,6.0,0
c#,112,2,7.5,0
c#,115,12,1.58333333333,27
c#,116,7,5.28571428571,2
c#,118,4,1.0,2
c#,119,1,3.0,0
c#,120,8,4.25,6
c#,122,20,19.65,4
c#,123,5,5.6,2
c#,131,2,0.0,0
c#,133,16,2.9375,6
c#,135,2,10.5,0
c#,136,1,6.0,1
c#,1573001,1,0.0,0
c#,139,11,3.18181818182,9
c#,142,1,2.0,0
c#,143,9,2.88888888889,0
c#,146,9,10.8888888889,5
c#,524436,3,2.0,7
c#,149,25,6.16,23
c#,150,3,43.0,0
c#,151,1,2.0,0
c#,152,1,62.0,0
c#,1048729,1,0.0,0
c#,154,1,71.0,0
c#,157,2,4.5,16
c#,162,1,3.0,0
c#,163,12,2.0,9
c#,169,31,2.54838709677,9
c#,171,1,2.0,1
c#,173,1,2.0,0
c#,175,1,3.0,0
c#,177,6,2.83333333333,1
c#,178,3,0.333333333333,0
c#,179,0,0,1
c#,184,3,1.0,5
c#,524474,1,0.0,0
c#,524475,119,1.84033613445,158
c#,188,6,2.16666666667,3
c#,190,2,0.5,2
c#,191,21,1.0,3
c#,192,7,4.57142857143,1
c#,193,8,9.125,1
c#,194,37,6.7027027027,1
c#,195,5,2.8,0
c#,198,1,0.0,0
c#,33,21,5.80952380952,24
c#,200,8,3.75,2
c#,202,15,1.6,6
c#,203,3,5.66666666667,5
c#,205,18,2.61111111111,26
c#,206,4,2.0,3
c#,207,18,2.77777777778,8
c#,209,19,3.0,16
c#,212,6,113.833333333,5
c#,214,108,4.03703703704,84
c#,216,2,1.5,0
c#,217,3,1.0,1
c#,223,18,7.11111111111,3
c#,224,5,21.2,0
c#,225,77,2.01298701299,7
c#,227,30,3.93333333333,10
c#,229,2,4.0,0
c#,230,12,8.66666666667,4
c#,231,14,8.85714285714,0
c#,232,16,2.125,10
c#,233,171,4.46783625731,234
c#,234,127,15.5118110236,57
c#,237,1,4.0,0
c#,238,4,6.75,0
c#,242,5,3.4,9
c#,243,22,2.5,11
c#,245,8,2.5,9
c#,246,1,5.0,0
c#,247,12,4.08333333333,3
c#,253,6,0.5,5
c#,1048830,1,0.0,0
c#,255,9,5.33333333333,11
c#,524544,7,0.0,1
c#,257,1,2.0,0
c#,258,9,0.444444444444,2
c#,259,5,2.4,6
c#,260,18,1.66666666667,32
c#,1048837,5,1.0,0
c#,263,1,4.0,0
c#,524552,2,1.5,0
c#,1048841,1,2.0,0
c#,266,54,4.18518518519,50
c#,267,800,5.72375,1632
c#,268,6,3.0,1
c#,270,13,2.07692307692,13
c#,271,0,0,2
c#,274,5,3.6,5
c#,275,60,7.68333333333,19
c#,276,16,2.75,2
c#,278,3,2.0,2
c#,279,0,0,1
c#,282,2,0.5,1
c#,524571,1,2.0,1
c#,285,6,2.5,4
c#,1048862,6,1.5,7
c#,288,1,1.0,1
c#,292,7,3.85714285714,4
c#,296,16,0.75,7
c#,1573161,1,0.0,0
c#,298,4,2.25,3
c#,299,1,1.0,0
c#,524588,1,0.0,1
c#,303,6,8.0,1
c#,304,5,3.2,3
c#,305,3,2.33333333333,6
c#,307,46,1.54347826087,25
c#,308,13,9.46153846154,0
c#,311,1,1.0,4
c#,312,21,6.14285714286,0
c#,313,5,64.6,0
c#,315,2,24.0,0
c#,316,1,1.0,0
c#,317,27,4.0,13
c#,318,6,1.66666666667,4
c#,320,66,2.24242424242,9
c#,322,9,8.44444444444,2
c#,324,5,2.4,1
c#,326,4,2.0,7
c#,327,10,4.7,8
c#,328,2,2.0,0
c#,332,40,4.6,44
c#,524621,3,1.33333333333,0
c#,337,73,3.76712328767,61
c#,338,100,3.05,46
c#,342,10,1.7,9
c#,343,33,5.09090909091,23
c#,349,2,1.5,1
c#,350,3,3.33333333333,3
c#,352,1,1.0,0
c#,354,1,0.0,0
c#,356,41,6.0,59
c#,357,19,16.8421052632,3
c#,358,10,3.9,4
c#,359,1,0.0,0
c#,360,1,3.0,0
c#,361,38,5.73684210526,15
c#,524652,1,1.0,0
c#,366,1,2.0,0
c#,524656,1,1.0,0
c#,369,137,2.94160583942,383
c#,370,6,22.8333333333,3
c#,371,33,1.48484848485,14
c#,372,145,9.26896551724,104
c#,373,7,4.42857142857,0
c#,376,9,1.44444444444,11
c#,377,218,2.61926605505,97
c#,379,3,1.66666666667,1
c#,380,38,1.89473684211,6
c#,524670,1,-1.0,0
c#,383,35,1.65714285714,6
c#,384,5,12.6,2
c#,389,2,2.0,3
c#,390,6,1.66666666667,0
c#,392,83,9.79518072289,35
c#,394,3,0.333333333333,1
c#,1048971,2,0.5,0
c#,396,31,1.87096774194,4
c#,398,3,2.66666666667,2
c#,400,1,0.0,0
c#,1573265,1,0.0,0
c#,402,1,0.0,1
c#,403,1,1.0,1
c#,404,37,2.78378378378,110
c#,407,2,1.0,0
c#,409,1,0.0,0
c#,410,4,3.75,0
c#,411,3,2.66666666667,15
c#,414,68,5.41176470588,49
c#,524703,1,0.0,0
c#,417,2,3.5,1
c#,418,1,1.0,0
c#,419,214,5.31308411215,335
c#,422,3,0.666666666667,0
c#,423,8,5.5,3
c#,425,16,2.6875,19
c#,426,8,0.5,4
c#,428,7,0.571428571429,4
c#,429,20,8.85,2
c#,430,1,0.0,0
c#,431,1,0.0,0
c#,432,2,0.5,4
c#,524360,1,2.0,0
c#,434,2,20.5,0
c#,524723,1,0.0,0
c#,437,1,1.0,2
c#,438,3,5.33333333333,5
c#,439,7,1.14285714286,2
c#,441,4,1.75,0
c#,443,9,9.0,2
c#,444,0,0,1
c#,524733,2,1.0,3
c#,446,7,127.571428571,1
c#,447,2,0.5,3
c#,448,23,2.91304347826,12
c#,449,1,0.0,0
c#,453,1,6.0,0
c#,524742,1,0.0,0
c#,456,1,4.0,7
c#,457,6,2.33333333333,2
c#,459,15,3.8,4
c#,462,1,1.0,0
c#,463,9,0.555555555556,21
c#,1049041,1,1.0,0
c#,470,17,4.41176470588,25
c#,472,0,0,2
c#,475,12,1.33333333333,3
c#,476,10,1.5,34
c#,477,1,0.0,0
c#,479,2,0.5,6
c#,1573345,1,2.0,0
c#,482,2,0.5,0
c#,483,5,1.0,2
c#,486,5,2.8,0
c#,487,4,1.5,2
c#,489,40,7.925,8
c#,492,10,5.8,16
c#,493,129,6.64341085271,12
c#,497,1,2.0,1
c#,506,13,4.46153846154,6
c#,507,33,21.4242424242,6
c#,524796,1,0.0,0
c#,509,1,3.0,0
c#,510,1,43.0,0
c#,85,1,3.0,0
c#,512,2,2.5,0
c#,524804,1,0.0,0
c#,517,31,1.74193548387,55
c#,518,3,0.333333333333,0
c#,519,1,5.0,0
c#,520,7,0.714285714286,3
c#,521,9,6.11111111111,2
c#,522,1,0.0,0
c#,524375,1,1.0,0
c#,525,3,1.66666666667,4
c#,1049108,0,0,1
c#,533,32,7.15625,17
c#,534,3,1.33333333333,0
c#,535,1,8.0,0
c#,524824,1,1.0,0
c#,537,8,5.125,10
c#,541,7,3.28571428571,3
c#,543,3,1.66666666667,1
c#,524834,2,2.0,0
c#,548,6,2.33333333333,2
c#,549,27,2.22222222222,25
c#,550,1,3.0,1
c#,551,2,1.5,0
c#,1049128,1,7.0,0
c#,1048668,1,2.0,0
c#,557,1,-1.0,0
c#,560,3,14.3333333333,0
c#,563,28,3.60714285714,19
c#,564,1,0.0,0
c#,565,1,4.0,0
c#,524855,4,1.75,1
c#,568,3,5.66666666667,0
c#,570,1,0.0,0
c#,571,25,2.68,10
c#,572,16,2.625,37
c#,573,3,1.33333333333,1
c#,574,1,1.0,0
c#,576,5,0.4,9
c#,2621536,0,0,3
c#,578,6,7.83333333333,11
c#,580,25,2.2,24
c#,581,3,63.3333333333,1
c#,1049158,1,4.0,0
c#,584,7,2.42857142857,6
c#,524874,2,1.5,0
c#,588,2,1.5,0
c#,1573453,8,1.5,3
c#,590,6,0.833333333333,1
c#,592,21,2.0,6
c#,598,41,12.0243902439,5
c#,524891,1,3.0,0
c#,608,24,6.04166666667,5
c#,609,8,4.5,0
c#,611,98,2.45918367347,84
c#,612,2,0.5,0
c#,614,1,0.0,0
c#,615,324,13.4845679012,216
c#,1049192,2,0.5,0
c#,617,1,2.0,0
c#,618,6,11.0,3
c#,619,1,1.0,2
c#,623,1,-1.0,0
c#,626,3,1.33333333333,6
c#,627,1,3.0,0
c#,630,5,0.4,0
c#,631,22,44.4545454545,2
c#,632,131,4.87022900763,9
c#,634,0,0,1
c#,635,5,2.0,0
c#,636,60,1.73333333333,35
c#,637,25,2.16,4
c#,1049220,1,-3.0,0
c#,645,115,1.41739130435,50
c#,646,12,15.8333333333,6
c#,648,8,2.875,2
c#,649,1,3.0,0
c#,174871,1,11.0,0
c#,524940,1,1.0,0
c#,653,3,1.0,0
c#,524946,1,4.0,2
c#,1049239,2,0.5,4
c#,1573529,1,2.0,0
c#,667,4,8.25,5
c#,670,1,3.0,0
c#,672,20,4.4,7
c#,673,3,0.0,0
c#,676,1,2.0,0
c#,678,0,0,1
c#,524968,2,0.5,0
c#,681,3,3.33333333333,0
c#,1049259,1,1.0,0
c#,685,8,1.5,2
c#,688,1,1.0,2
c#,689,2,2.0,4
c#,691,3,6.33333333333,1
c#,697,3,1.33333333333,1
c#,698,14,5.0,5
c#,699,2,1.0,1
c#,524989,2,2.0,0
c#,702,1,0.0,1
c#,705,12,4.0,0
c#,708,11,6.81818181818,1
c#,524997,0,0,1
c#,712,12,6.91666666667,1
c#,714,3,4.0,1
c#,716,2,1.5,1
c#,718,75,17.7866666667,52
c#,1573583,2,1.0,0
c#,720,1,21.0,2
c#,721,1,1.0,0
c#,722,4,4.25,1
c#,726,2,5.0,0
c#,727,2,2.0,0
c#,729,18,4.05555555556,8
c#,730,9,0.777777777778,8
c#,731,16,2.25,0
c#,1049308,2,2.5,0
c#,733,7,2.28571428571,0
c#,734,5,4.2,3
c#,736,15,4.33333333333,8
c#,737,1,2.0,1
c#,738,0,0,1
c#,739,2,1.0,0
c#,740,71,2.04225352113,23
c#,741,13,2.38461538462,5
c#,743,16,6.0,31
c#,745,2,0.0,1
c#,747,28,1.35714285714,12
c#,748,44,8.31818181818,1
c#,750,1,1.0,2
c#,751,2,1.5,2
c#,752,8,15.125,1
