tag,user,act,exp,par
oop,1,0,0,2
oop,131084,1,11.0,0
oop,13,8,5.375,11
oop,1703951,2,0.5,0
oop,17,2,4.5,2
oop,20,1,6.0,1
oop,22,2,1.0,0
oop,26,4,2.5,3
oop,29,2,2.5,2
oop,917534,1,0.0,0
oop,34,1,5.0,0
oop,35,3,12.3333333333,0
oop,786471,1,0.0,0
oop,40,3,1.0,1
oop,42,2,5.5,1
oop,524332,0,0,1
oop,45,7,3.0,2
oop,46,2,23.5,0
oop,131119,1,0.0,0
oop,131120,1,0.0,0
oop,50,1,1.0,1
oop,51,1,3.0,0
oop,52,1,13.0,0
oop,786487,1,0.0,1
oop,131128,1,0.0,0
oop,786489,1,0.0,0
oop,58,3,2.0,1
oop,59,1,11.0,0
oop,60,3,1.0,0
oop,61,1,1.0,0
oop,63,1,3.0,1
oop,64,3,5.0,0
oop,524353,1,1.0,0
oop,67,16,5.25,12
oop,131140,7,2.0,1
oop,262214,0,0,1
oop,72,3,1.66666666667,1
oop,655372,1,2.0,2
oop,75,1,3.0,1
oop,77,4,11.0,1
oop,524368,2,4.5,0
oop,81,1,0.0,0
oop,82,1,1.0,1
oop,83,2,2.0,0
oop,86,1,3.0,0
oop,91,6,2.33333333333,8
oop,92,1,2.0,0
oop,93,1,29.0,0
oop,96,5,25.2,7
oop,99,1,276.0,0
oop,100,1,0.0,0
oop,1441894,7,3.14285714286,1
oop,106,1,2.0,0
oop,196626,1,1.0,1
oop,131183,0,0,1
oop,112,1,3.0,1
oop,115,3,0.333333333333,8
oop,116,9,8.33333333333,0
oop,117,0,0,1
oop,118,1,2.0,2
oop,122,4,14.0,5
oop,123,1,0.0,1
oop,136,1,3.0,0
oop,1704074,1,2.0,0
oop,1179789,0,0,1
oop,143,1,0.0,0
oop,146,1,3.0,0
oop,149,0,0,5
oop,151,1,6.0,0
oop,262298,1,1.0,0
oop,131227,3,0.333333333333,0
oop,157,4,2.0,2
oop,131231,1,3.0,0
oop,786593,1,2.0,0
oop,164,1,8.0,0
oop,170,1,8.0,0
oop,171,1,2.0,0
oop,175,1,0.0,0
oop,524475,2,1.0,3
oop,188,5,1.6,4
oop,393406,1,0.0,1
oop,193,1,1.0,0
oop,198,2,2.5,0
oop,199,1,1.0,0
oop,200,2,20.0,0
oop,131273,1,1.0,0
oop,205,1,0.0,0
oop,210,2,1.5,0
oop,214,2,6.0,2
oop,786653,0,0,1
oop,223,3,12.0,1
oop,225,4,4.0,1
oop,230,1,0.0,0
oop,232,1,0.0,0
oop,233,3,7.0,1
oop,234,14,11.4285714286,0
oop,235,1,1.0,0
oop,238,4,7.75,0
oop,393459,0,0,1
oop,245,0,0,1
