tag,user,act,exp,par
regex,1,15,18.7333333333,12
regex,786434,1,0.0,0
regex,3,0,0,1
regex,5,3,4.66666666667,0
regex,13,24,5.16666666667,15
regex,17,5,1.0,4
regex,22,4,0.75,2
regex,1310746,2,0.0,0
regex,29,5,17.2,13
regex,30,4,1.0,1
regex,34,2,19.0,0
regex,36,4,2.25,2
regex,37,0,0,1
regex,38,1,0.0,1
regex,786471,0,0,2
regex,40,1,0.0,0
regex,42,3,2.0,1
regex,45,3,11.0,1
regex,50,1,3.0,1
regex,55,1,1.0,0
regex,60,4,1.25,1
regex,62,1,20.0,0
regex,64,7,1.85714285714,0
regex,67,26,2.76923076923,13
regex,71,9,2.88888888889,3
regex,72,11,2.54545454545,4
regex,131084,1,1.0,1
regex,77,1,3.0,1
regex,1310733,1,2.0,0
regex,85,1,0.0,0
regex,86,7,0.714285714286,4
regex,91,5,1.0,8
regex,92,0,0,1
regex,95,1,1.0,0
regex,2621536,2,6.0,5
regex,1048676,1,0.0,0
regex,524389,6,1.5,0
regex,103,0,0,1
regex,786536,1,2.0,0
regex,106,1,1.0,1
regex,112,1,17.0,0
regex,115,17,7.76470588235,20
regex,116,5,2.0,0
regex,117,0,0,1
regex,118,1,0.0,0
regex,262263,0,0,1
regex,122,8,23.5,2
regex,1310846,1,1.0,1
regex,262271,0,0,1
regex,786560,1,0.0,0
regex,133,3,14.6666666667,0
regex,137,2,13.5,0
regex,144,1,0.0,0
regex,145,3,3.33333333333,0
regex,524436,1,1.0,5
regex,149,1,0.0,2
regex,151,1,2.0,0
regex,2097304,1,0.0,0
regex,262298,1,0.0,0
regex,156,1,4.0,0
regex,157,1,5.0,0
regex,786593,1,0.0,0
regex,163,1,1.0,0
regex,164,4,35.25,2
regex,170,1,4.0,0
regex,181,2,0.5,0
regex,524475,2,2.5,1
regex,188,3,5.66666666667,2
regex,189,1,5.0,0
regex,191,2,2.0,0
regex,194,2,3.5,0
regex,197,1,0.0,0
regex,199,2,2.0,2
regex,200,0,0,1
regex,204,0,0,1
regex,205,0,0,2
regex,207,2,2.0,1
regex,208,2,1.5,0
regex,210,3,1.0,4
regex,214,10,1.4,5
regex,262363,10,1.3,9
regex,223,4,0.0,1
regex,224,1,6.0,0
regex,225,0,0,1
regex,227,1,69.0,0
regex,786662,1,2.0,0
regex,262376,1,0.0,1
regex,233,7,3.0,14
regex,234,8,4.375,1
regex,235,2,1.5,0
regex,238,8,15.125,1
regex,524530,1,0.0,0
regex,243,5,1.0,2
regex,245,0,0,1
regex,253,1,4.0,0
regex,255,1,2.0,0
regex,262401,1,0.0,0
regex,786691,12,1.41666666667,11
regex,264,2,92.5,1
regex,786699,3,0.0,1
regex,268,4,8.75,1
regex,269,1,0.0,0
regex,270,2,0.0,1
regex,271,1,0.0,0
regex,274,21,2.85714285714,17
regex,276,2,3.0,0
regex,277,1,2.0,0
regex,524566,3,3.66666666667,4
regex,1048862,7,1.71428571429,6
regex,287,1,0.0,0
regex,288,1,0.0,0
regex,291,1,6.0,0
regex,524588,4,1.0,4
regex,302,3,1.33333333333,1
regex,304,8,6.625,11
regex,305,13,20.0769230769,19
regex,306,1,1.0,0
regex,311,0,0,4
regex,262456,2,1.0,0
regex,314,0,0,1
regex,316,1,0.0,0
regex,318,1,2.0,0
regex,320,1,5.0,0
regex,324,1,1.0,0
regex,332,2,4.5,1
regex,524621,4,1.0,3
regex,1004941,1,2.0,0
regex,337,3,2.0,1
regex,338,5,7.2,1
regex,339,1,1.0,0
regex,341,1,1.0,0
regex,786774,0,0,1
regex,343,1,0.0,1
regex,350,2,5.0,1
regex,356,5,1.2,7
regex,357,1,1.0,1
regex,361,1,1.0,3
regex,364,3,8.0,3
regex,369,3,2.33333333333,19
regex,370,1,2.0,0
regex,1835379,3,0.666666666667,8
regex,372,0,0,1
regex,376,0,0,1
regex,377,7,1.42857142857,4
regex,381,1,2.0,0
regex,786814,0,0,1
regex,383,2,5.5,0
regex,655424,0,0,4
regex,392,4,1.25,2
regex,786825,2,6.0,1
regex,394,3,1.0,0
regex,396,7,1.14285714286,1
regex,404,0,0,5
regex,411,0,0,1
regex,414,1,1.0,5
regex,419,6,2.0,37
regex,524708,0,0,1
regex,422,8,4.75,0
regex,426,1,3.0,1
regex,428,1,1.0,0
regex,429,2,4.0,0
regex,430,5,4.6,3
regex,437,5,10.0,6
regex,443,1,1.0,0
regex,446,1,1.0,0
regex,448,1,2.0,0
regex,786883,1,1.0,0
regex,524743,1,0.0,0
regex,456,6,1.16666666667,7
regex,1835465,1,1.0,0
regex,459,14,2.35714285714,10
regex,476,61,3.18032786885,170
regex,2621917,2,0.5,2
regex,1049058,1,2.0,0
regex,1573347,1,0.0,0
regex,486,1,5.0,0
regex,489,1,3.0,0
regex,492,0,0,1
regex,497,2,1.0,0
regex,786935,3,2.33333333333,12
regex,504,1,3.0,1
regex,510,2,12.5,1
regex,786948,3,1.33333333333,2
regex,517,0,0,1
regex,521,1,1.0,0
regex,522,1,4.0,0
regex,262667,1,3.0,0
regex,131160,1,1.0,3
regex,786966,3,1.0,0
regex,1049112,1,0.0,0
regex,262683,2,1.0,1
regex,541,1,2.0,0
regex,262689,1,10.0,0
regex,1573414,1,0.0,0
regex,560,2,0.5,1
regex,786996,1,0.0,0
