qid,url,version,change type
10687694,http://stackoverflow.com/posts/10687694/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
11773525,http://stackoverflow.com/posts/11773525/revisions,2,-1
,,3,-1
,,4,-1
2049238,http://stackoverflow.com/posts/2049238/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
17931480,http://stackoverflow.com/posts/17931480/revisions,2,-1
17362468,http://stackoverflow.com/posts/17362468/revisions,2,-1
,,3,-1
13421787,http://stackoverflow.com/posts/13421787/revisions,2,-1
,,3,-1
17894620,http://stackoverflow.com/posts/17894620/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
15078621,http://stackoverflow.com/posts/15078621/revisions,2,-1
,,3,-1
12233950,http://stackoverflow.com/posts/12233950/revisions,2,-1
11130082,http://stackoverflow.com/posts/11130082/revisions,2,-1
,,3,-1
,,4,-1
6618501,http://stackoverflow.com/posts/6618501/revisions,2,-1
,,3,-1
,,4,-1
16597729,http://stackoverflow.com/posts/16597729/revisions,2,-1
,,3,-1
4275442,http://stackoverflow.com/posts/4275442/revisions,2,-1
,,3,-1
10281171,http://stackoverflow.com/posts/10281171/revisions,2,-1
,,3,-1
,,4,-1
17179892,http://stackoverflow.com/posts/17179892/revisions,2,-1
12088565,http://stackoverflow.com/posts/12088565/revisions,2,-1
,,3,-1
,,4,-1
10501366,http://stackoverflow.com/posts/10501366/revisions,2,-1
,,3,-1
3978487,http://stackoverflow.com/posts/3978487/revisions,2,-1
,,3,-1
,,4,-1
3632378,http://stackoverflow.com/posts/3632378/revisions,2,-1
16827643,http://stackoverflow.com/posts/16827643/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
14892284,http://stackoverflow.com/posts/14892284/revisions,2,-1
7634173,http://stackoverflow.com/posts/7634173/revisions,2,-1
9519388,http://stackoverflow.com/posts/9519388/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
1848826,http://stackoverflow.com/posts/1848826/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
17642755,http://stackoverflow.com/posts/17642755/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
11730180,http://stackoverflow.com/posts/11730180/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
6350038,http://stackoverflow.com/posts/6350038/revisions,2,-1
,,3,-1
7154953,http://stackoverflow.com/posts/7154953/revisions,2,-1
10329355,http://stackoverflow.com/posts/10329355/revisions,2,-1
,,3,-1
,,4,-1
16661772,http://stackoverflow.com/posts/16661772/revisions,2,-1
16493838,http://stackoverflow.com/posts/16493838/revisions,2,-1
,,3,-1
,,4,-1
17195230,http://stackoverflow.com/posts/17195230/revisions,2,-1
,,3,-1
,,4,-1
16073944,http://stackoverflow.com/posts/16073944/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
9635090,http://stackoverflow.com/posts/9635090/revisions,2,-1
,,3,-1
10306836,http://stackoverflow.com/posts/10306836/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
10326574,http://stackoverflow.com/posts/10326574/revisions,2,-1
13016281,http://stackoverflow.com/posts/13016281/revisions,2,-1
,,3,-1
9493785,http://stackoverflow.com/posts/9493785/revisions,2,-1
13366555,http://stackoverflow.com/posts/13366555/revisions,2,-1
,,3,-1
2493724,http://stackoverflow.com/posts/2493724/revisions,2,-1
15136645,http://stackoverflow.com/posts/15136645/revisions,2,-1
3980577,http://stackoverflow.com/posts/3980577/revisions,2,-1
,,3,-1
13255970,http://stackoverflow.com/posts/13255970/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
17756379,http://stackoverflow.com/posts/17756379/revisions,2,-1
7865905,http://stackoverflow.com/posts/7865905/revisions,2,-1
,,3,-1
14499112,http://stackoverflow.com/posts/14499112/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
1308797,http://stackoverflow.com/posts/1308797/revisions,2,-1
,,3,-1
10497927,http://stackoverflow.com/posts/10497927/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
7120174,http://stackoverflow.com/posts/7120174/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
17159472,http://stackoverflow.com/posts/17159472/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10782942,http://stackoverflow.com/posts/10782942/revisions,2,-1
,,3,-1
13520359,http://stackoverflow.com/posts/13520359/revisions,2,-1
,,3,-1
,,4,-1
7609659,http://stackoverflow.com/posts/7609659/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
11353404,http://stackoverflow.com/posts/11353404/revisions,2,-1
15838526,http://stackoverflow.com/posts/15838526/revisions,2,-1
,,3,-1
12782911,http://stackoverflow.com/posts/12782911/revisions,2,-1
,,3,-1
,,4,-1
14695745,http://stackoverflow.com/posts/14695745/revisions,2,-1
,,3,-1
9051458,http://stackoverflow.com/posts/9051458/revisions,2,-1
,,3,-1
,,4,-1
6098243,http://stackoverflow.com/posts/6098243/revisions,2,-1
,,3,-1
3628356,http://stackoverflow.com/posts/3628356/revisions,2,-1
,,3,-1
,,4,-1
16037189,http://stackoverflow.com/posts/16037189/revisions,2,-1
,,3,-1
,,4,-1
